Team1,Team2,Winner,Margin,Ground,Date,Scorecard
Denmark,Finland,Denmark,38 runs,Brondby,"Jul 13, 2019",T20I # 829
Denmark,Finland,Denmark,1 run,Brondby,"Jul 13, 2019",T20I # 828
Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,"Jul 13, 2019",T20I # 827
P.N.G.,Vanuatu,P.N.G.,32 runs,Apia (No 2),"Jul 13, 2019",T20I # 826
Ireland,Zimbabwe,Ireland,9 wickets,Bready,"Jul 12, 2019",T20I # 825
P.N.G.,Vanuatu,P.N.G.,59 runs,Apia (No 2),"Jul 12, 2019",T20I # 824
Samoa,Vanuatu,Vanuatu,32 runs,Apia (No 3),"Jul 12, 2019",T20I # 823
Samoa,P.N.G.,P.N.G.,7 wickets,Apia (No 2),"Jul 10, 2019",T20I # 822
P.N.G.,Vanuatu,P.N.G.,3 wickets,Apia (No 3),"Jul 9, 2019",T20I # 820
Samoa,Vanuatu,Samoa,2 wickets,Apia (No 1),"Jul 9, 2019",T20I # 821
Samoa,P.N.G.,P.N.G.,9 wickets,Apia (No 1),"Jul 8, 2019",T20I # 819
Qatar,Kuwait,Qatar,3 wickets,Doha,"Jul 6, 2019",T20I # 818
Qatar,Kuwait,tied,-,Doha,"Jul 5, 2019",T20I # 817
Qatar,Kuwait,Kuwait,7 wickets,Doha,"Jul 4, 2019",T20I # 816
Maldives,Thailand,Thailand,5 wickets,Kuala Lumpur,"Jun 29, 2019",T20I # 815
Malaysia,Maldives,no result,-,Kuala Lumpur,"Jun 28, 2019",T20I # 814
Malaysia,Thailand,Malaysia,8 wickets,Kuala Lumpur,"Jun 27, 2019",T20I # 813
Maldives,Thailand,Maldives,2 wickets,Kuala Lumpur,"Jun 26, 2019",T20I # 812
Netherlands,Zimbabwe,tied,-,Rotterdam,"Jun 25, 2019",T20I # 811
Malaysia,Maldives,Malaysia,73 runs,Kuala Lumpur,"Jun 25, 2019",T20I # 810
Malaysia,Thailand,Malaysia,5 wickets,Kuala Lumpur,"Jun 24, 2019",T20I # 809
Netherlands,Zimbabwe,Netherlands,49 runs,Rotterdam,"Jun 23, 2019",T20I # 808
Denmark,Italy,Denmark,30 runs,Castel,"Jun 20, 2019",T20I # 806
Germany,Jersey,Germany,3 wickets,St Peter Port,"Jun 20, 2019",T20I # 807
Guernsey,Denmark,Guernsey,6 runs,Castel,"Jun 20, 2019",T20I # 804
Germany,Norway,Germany,7 wickets,St Peter Port,"Jun 20, 2019",T20I # 805
Italy,Jersey,Jersey,73 runs,St Peter Port,"Jun 19, 2019",T20I # 802
Denmark,Germany,Germany,7 wickets,Castel,"Jun 19, 2019",T20I # 803
Guernsey,Norway,Guernsey,4 wickets,Castel,"Jun 19, 2019",T20I # 801
Denmark,Italy,no result,-,Castel,"Jun 18, 2019",T20I # 800
Guernsey,Denmark,no result,-,Castel,"Jun 18, 2019",T20I # 799
Denmark,Norway,Denmark,46 runs,Castel,"Jun 17, 2019",T20I # 798
Guernsey,Italy,Italy,11 runs,St Peter Port,"Jun 16, 2019",T20I # 796
Jersey,Norway,Jersey,80 runs,Castel,"Jun 16, 2019",T20I # 797
Germany,Italy,Italy,5 wickets,St Peter Port,"Jun 16, 2019",T20I # 794
Denmark,Jersey,Jersey,18 runs,Castel,"Jun 16, 2019",T20I # 795
Guernsey,Germany,Germany,5 wickets,Castel,"Jun 15, 2019",T20I # 793
Guernsey,Jersey,Jersey,8 wickets,Castel,"Jun 15, 2019",T20I # 791
Italy,Norway,Italy,20 runs,St Peter Port,"Jun 15, 2019",T20I # 792
Guernsey,Jersey,Jersey,41 runs,Castel,"Jun 1, 2019",T20I # 789
Guernsey,Jersey,Jersey,76 runs,Castel,"Jun 1, 2019",T20I # 790
Guernsey,Jersey,tied,-,St Peter Port,"May 31, 2019",T20I # 788
Germany,Italy,Italy,6 wickets,Utrecht,"May 25, 2019",T20I # 787
Germany,Italy,Italy,7 wickets,Utrecht,"May 25, 2019",T20I # 786
Uganda,Ghana,Uganda,7 wickets,Kampala,"May 23, 2019",T20I # 785
Botswana,Namibia,Namibia,10 wickets,Kampala,"May 22, 2019",T20I # 783
Uganda,Kenya,Kenya,1 run,Kampala,"May 22, 2019",T20I # 784
Ghana,Nigeria,Nigeria,28 runs,Kampala,"May 22, 2019",T20I # 782
Botswana,Nigeria,Nigeria,11 runs,Kampala,"May 21, 2019",T20I # 780
Ghana,Kenya,Kenya,53 runs,Kampala,"May 21, 2019",T20I # 781
Uganda,Namibia,Namibia,42 runs,Kampala,"May 21, 2019",T20I # 779
Ghana,Namibia,Namibia,9 wickets,Kampala,"May 20, 2019",T20I # 777
Uganda,Botswana,Uganda,52 runs,Kampala,"May 20, 2019",T20I # 778
Kenya,Nigeria,Kenya,8 wickets,Kampala,"May 20, 2019",T20I # 776
Belgium,Germany,Germany,6 wickets,Waterloo,"May 12, 2019",T20I # 775
Belgium,Germany,Germany,62 runs,Waterloo,"May 11, 2019",T20I # 774
Belgium,Germany,Germany,9 runs,Waterloo,"May 11, 2019",T20I # 773
England,Pakistan,England,7 wickets,Cardiff,"May 5, 2019",T20I # 772
Mexico,Panama,Panama,33 runs,Naucalpan,"Apr 27, 2019",T20I # 770
Belize,Costa Rica,Belize,5 wickets,Naucalpan,"Apr 27, 2019",T20I # 771
Belize,Panama,Belize,9 runs,Naucalpan,"Apr 26, 2019",T20I # 769
Mexico,Costa Rica,Mexico,3 wickets,Naucalpan,"Apr 26, 2019",T20I # 768
Costa Rica,Panama,Panama,7 wickets,Naucalpan,"Apr 25, 2019",T20I # 767
Mexico,Belize,Belize,4 wickets,Naucalpan,"Apr 25, 2019",T20I # 766
Spain,Malta,Spain,109 runs,Cartagena,"Mar 30, 2019",T20I # 765
Spain,Malta,Spain,7 wickets,Cartagena,"Mar 29, 2019",T20I # 764
South Africa,Sri Lanka,South Africa,45 runs,Johannesburg,"Mar 24, 2019",T20I # 763
P.N.G.,Vanuatu,P.N.G.,10 wickets,Port Moresby,"Mar 24, 2019",T20I # 762
Philippines,Vanuatu,Philippines,10 runs,Port Moresby,"Mar 24, 2019",T20I # 761
P.N.G.,Philippines,no result,-,Port Moresby,"Mar 23, 2019",T20I # 760
Philippines,Vanuatu,Vanuatu,63 runs,Port Moresby,"Mar 23, 2019",T20I # 759
South Africa,Sri Lanka,South Africa,16 runs,Centurion,"Mar 22, 2019",T20I # 758
P.N.G.,Vanuatu,P.N.G.,8 wickets,Port Moresby,"Mar 22, 2019",T20I # 757
P.N.G.,Philippines,P.N.G.,133 runs,Port Moresby,"Mar 22, 2019",T20I # 756
South Africa,Sri Lanka,tied,-,Cape Town,"Mar 19, 2019",T20I # 755
U.A.E.,U.S.A.,U.A.E.,24 runs,ICCA Dubai,"Mar 16, 2019",T20I # 754
U.A.E.,U.S.A.,no result,-,ICCA Dubai,"Mar 15, 2019",T20I # 753
West Indies,England,England,8 wickets,Basseterre,"Mar 10, 2019",T20I # 752
West Indies,England,England,137 runs,Basseterre,"Mar 8, 2019",T20I # 751
West Indies,England,England,4 wickets,Gros Islet,"Mar 5, 2019",T20I # 750
India,Australia,Australia,7 wickets,Bengaluru,"Feb 27, 2019",T20I # 749
India,Australia,Australia,3 wickets,Visakhapatnam,"Feb 24, 2019",T20I # 748
Afghanistan,Ireland,Afghanistan,32 runs,Dehradun,"Feb 24, 2019",T20I # 747
Afghanistan,Ireland,Afghanistan,84 runs,Dehradun,"Feb 23, 2019",T20I # 746
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,"Feb 21, 2019",T20I # 745
Oman,Scotland,Scotland,7 wickets,Al Amerat,"Feb 17, 2019",T20I # 744
Ireland,Netherlands,Ireland,1 wicket,Al Amerat,"Feb 17, 2019",T20I # 743
Ireland,Scotland,Scotland,6 wickets,Al Amerat,"Feb 15, 2019",T20I # 742
Oman,Netherlands,Netherlands,8 wickets,Al Amerat,"Feb 15, 2019",T20I # 741
Oman,Ireland,Ireland,15 runs,Al Amerat,"Feb 13, 2019",T20I # 740
Netherlands,Scotland,Netherlands,7 wickets,Al Amerat,"Feb 13, 2019",T20I # 739
New Zealand,India,New Zealand,4 runs,Hamilton,"Feb 10, 2019",T20I # 738
New Zealand,India,India,7 wickets,Auckland,"Feb 8, 2019",T20I # 737
South Africa,Pakistan,Pakistan,27 runs,Centurion,"Feb 6, 2019",T20I # 736
New Zealand,India,New Zealand,80 runs,Wellington,"Feb 6, 2019",T20I # 735
South Africa,Pakistan,South Africa,7 runs,Johannesburg,"Feb 3, 2019",T20I # 734
U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,"Feb 3, 2019",T20I # 733
South Africa,Pakistan,South Africa,6 runs,Cape Town,"Feb 1, 2019",T20I # 732
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Feb 1, 2019",T20I # 731
U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,"Jan 31, 2019",T20I # 730
Qatar,Saudi Arabia,Saudi Arabia,8 wickets,Al Amerat,"Jan 24, 2019",T20I # 729
Kuwait,Saudi Arabia,Saudi Arabia,7 wickets,Al Amerat,"Jan 24, 2019",T20I # 727
Bahrain,Qatar,Qatar,48 runs,Al Amerat,"Jan 24, 2019",T20I # 728
Maldives,Qatar,Qatar,8 wickets,Al Amerat,"Jan 23, 2019",T20I # 725
Bahrain,Kuwait,Kuwait,7 wickets,Al Amerat,"Jan 23, 2019",T20I # 726
Kuwait,Qatar,tied,-,Al Amerat,"Jan 22, 2019",T20I # 723
Maldives,Saudi Arabia,Saudi Arabia,6 wickets,Al Amerat,"Jan 22, 2019",T20I # 724
Bahrain,Maldives,Bahrain,2 wickets,Al Amerat,"Jan 21, 2019",T20I # 721
Qatar,Saudi Arabia,Qatar,4 wickets,Al Amerat,"Jan 21, 2019",T20I # 722
Bahrain,Saudi Arabia,Bahrain,41 runs,Al Amerat,"Jan 20, 2019",T20I # 719
Kuwait,Maldives,Kuwait,8 wickets,Al Amerat,"Jan 20, 2019",T20I # 720
New Zealand,Sri Lanka,New Zealand,35 runs,Auckland,"Jan 11, 2019",T20I # 718
New Zealand,Pakistan,Pakistan,4 wickets,Napier,"Dec 22, 2020",T20I # 1119
New Zealand,Pakistan,New Zealand,9 wickets,Hamilton,"Dec 20, 2020",T20I # 1118
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,"Dec 18, 2020",T20I # 1117
Australia,India,Australia,12 runs,Sydney,"Dec 8, 2020",T20I # 1116
Australia,India,India,6 wickets,Sydney,"Dec 6, 2020",T20I # 1115
Australia,India,India,11 runs,Canberra,"Dec 4, 2020",T20I # 1114
South Africa,England,England,9 wickets,Cape Town,"Dec 1, 2020",T20I # 1113
New Zealand,West Indies,no result,-,Mount Maunganui,"Nov 30, 2020",T20I # 1112
South Africa,England,England,4 wickets,Paarl,"Nov 29, 2020",T20I # 1111
New Zealand,West Indies,New Zealand,72 runs,Mount Maunganui,"Nov 29, 2020",T20I # 1110
South Africa,England,England,5 wickets,Cape Town,"Nov 27, 2020",T20I # 1109
New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Nov 27, 2020",T20I # 1108
Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,"Nov 10, 2020",T20I # 1107
Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,"Nov 8, 2020",T20I # 1106
Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 7, 2020",T20I # 1105
Romania,Bulgaria,Romania,6 wickets,Ilfov County,"Oct 18, 2020",T20I # 1104
Romania,Bulgaria,Romania,34 runs,Ilfov County,"Oct 17, 2020",T20I # 1103
Romania,Bulgaria,Romania,52 runs,Ilfov County,"Oct 17, 2020",T20I # 1102
Romania,Bulgaria,Bulgaria,33 runs,Ilfov County,"Oct 16, 2020",T20I # 1101
Bulgaria,Malta,no result,-,Sofia,"Sep 24, 2020",T20I # 1100
Bulgaria,Malta,Malta,8 wickets,Sofia,"Sep 23, 2020",T20I # 1099
Bulgaria,Malta,Malta,57 runs,Sofia,"Sep 23, 2020",T20I # 1098
England,Australia,Australia,5 wickets,Southampton,"Sep 8, 2020",T20I # 1097
England,Australia,England,6 wickets,Southampton,"Sep 6, 2020",T20I # 1096
England,Australia,England,2 runs,Southampton,"Sep 4, 2020",T20I # 1095
England,Pakistan,Pakistan,5 runs,Manchester,"Sep 1, 2020",T20I # 1094
England,Pakistan,England,5 wickets,Manchester,"Aug 30, 2020",T20I # 1093
Luxembourg,Belgium,Belgium,49 runs,Walferdange,"Aug 30, 2020",T20I # 1092
Belgium,Czech Rep.,Belgium,87 runs,Walferdange,"Aug 30, 2020",T20I # 1091
Belgium,Czech Rep.,Belgium,46 runs,Walferdange,"Aug 29, 2020",T20I # 1090
Luxembourg,Belgium,Belgium,37 runs,Walferdange,"Aug 29, 2020",T20I # 1089
Luxembourg,Czech Rep.,Czech Rep.,5 wickets,Walferdange,"Aug 29, 2020",T20I # 1088
England,Pakistan,no result,-,Manchester,"Aug 28, 2020",T20I # 1087
Luxembourg,Czech Rep.,Luxembourg,63 runs,Walferdange,"Aug 28, 2020",T20I # 1086
Guernsey,Isle of Man,Guernsey,8 wickets,St Peter Port,"Aug 21, 2020",T20I # 1085
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Mirpur,"Mar 11, 2020",T20I # 1084
Afghanistan,Ireland,tied,-,Greater Noida,"Mar 10, 2020",T20I # 1083
Bangladesh,Zimbabwe,Bangladesh,48 runs,Mirpur,"Mar 9, 2020",T20I # 1082
Spain,Germany,Germany,58 runs,Almeria,"Mar 8, 2020",T20I # 1081
Spain,Germany,Spain,9 wickets,Almeria,"Mar 8, 2020",T20I # 1080
Afghanistan,Ireland,Afghanistan,21 runs,Greater Noida,"Mar 8, 2020",T20I # 1079
Sri Lanka,West Indies,West Indies,7 wickets,Pallekele,"Mar 6, 2020",T20I # 1078
Afghanistan,Ireland,Afghanistan,11 runs,Greater Noida,"Mar 6, 2020",T20I # 1077
Hong Kong,Malaysia,Hong Kong,6 wickets,Bangkok,"Mar 6, 2020",T20I # 1076
Sri Lanka,West Indies,West Indies,25 runs,Pallekele,"Mar 4, 2020",T20I # 1075
Hong Kong,Singapore,Singapore,16 runs,Bangkok,"Mar 4, 2020",T20I # 1074
Thailand,Nepal,Nepal,9 wickets,Bangkok,"Mar 4, 2020",T20I # 1073
Thailand,Hong Kong,Hong Kong,8 wickets,Bangkok,"Mar 3, 2020",T20I # 1072
Malaysia,Singapore,Singapore,128 runs,Bangkok,"Mar 3, 2020",T20I # 1071
Thailand,Malaysia,Malaysia,8 wickets,Bangkok,"Mar 1, 2020",T20I # 1070
Hong Kong,Nepal,Hong Kong,43 runs,Bangkok,"Mar 1, 2020",T20I # 1069
Malaysia,Nepal,Malaysia,22 runs,Bangkok,"Feb 29, 2020",T20I # 1068
Thailand,Singapore,Singapore,43 runs,Bangkok,"Feb 29, 2020",T20I # 1067
Kuwait,U.A.E.,U.A.E.,102 runs,Al Amerat,"Feb 27, 2020",T20I # 1066
South Africa,Australia,Australia,97 runs,Cape Town,"Feb 26, 2020",T20I # 1065
Bahrain,Kuwait,Kuwait,87 runs,Al Amerat,"Feb 26, 2020",T20I # 1063
Qatar,U.A.E.,U.A.E.,28 runs,Al Amerat,"Feb 26, 2020",T20I # 1064
Malaysia,Hong Kong,Malaysia,6 wickets,Kuala Lumpur,"Feb 26, 2020",T20I # 1062
Bahrain,Qatar,Bahrain,6 wickets,Al Amerat,"Feb 25, 2020",T20I # 1060
Iran,Kuwait,Kuwait,8 wickets,Al Amerat,"Feb 25, 2020",T20I # 1061
Oman,Maldives,Oman,10 wickets,Al Amerat,"Feb 25, 2020",T20I # 1058
Saudi Arabia,U.A.E.,U.A.E.,12 runs,Al Amerat,"Feb 25, 2020",T20I # 1059
Bahrain,Maldives,Bahrain,65 runs,Al Amerat,"Feb 24, 2020",T20I # 1056
Kuwait,U.A.E.,U.A.E.,47 runs,Al Amerat,"Feb 24, 2020",T20I # 1057
Malaysia,Hong Kong,Malaysia,13 runs,Kuala Lumpur,"Feb 24, 2020",T20I # 1055
Iran,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Feb 24, 2020",T20I # 1053
Oman,Qatar,Qatar,34 runs,Al Amerat,"Feb 24, 2020",T20I # 1054
South Africa,Australia,South Africa,12 runs,Gqeberha,"Feb 23, 2020",T20I # 1052
Malaysia,Hong Kong,Malaysia,8 runs,Kuala Lumpur,"Feb 23, 2020",T20I # 1051
Kuwait,Saudi Arabia,Kuwait,9 wickets,Al Amerat,"Feb 23, 2020",T20I # 1049
Oman,Bahrain,Oman,8 wickets,Al Amerat,"Feb 23, 2020",T20I # 1050
Iran,U.A.E.,U.A.E.,10 wickets,Al Amerat,"Feb 23, 2020",T20I # 1047
Maldives,Qatar,Qatar,106 runs,Al Amerat,"Feb 23, 2020",T20I # 1048
South Africa,Australia,Australia,107 runs,Johannesburg,"Feb 21, 2020",T20I # 1046
Malaysia,Hong Kong,Malaysia,35 runs,Kuala Lumpur,"Feb 21, 2020",T20I # 1045
Malaysia,Hong Kong,Malaysia,21 runs,Kuala Lumpur,"Feb 20, 2020",T20I # 1044
South Africa,England,England,5 wickets,Centurion,"Feb 16, 2020",T20I # 1043
Qatar,Uganda,Uganda,18 runs,Doha,"Feb 15, 2020",T20I # 1042
South Africa,England,England,2 runs,Durban,"Feb 14, 2020",T20I # 1041
Qatar,Uganda,Qatar,28 runs,Doha,"Feb 13, 2020",T20I # 1040
South Africa,England,South Africa,1 run,East London,"Feb 12, 2020",T20I # 1039
Qatar,Uganda,Qatar,40 runs,Doha,"Feb 12, 2020",T20I # 1038
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",T20I # 1037
New Zealand,India,tied,-,Wellington,"Jan 31, 2020",T20I # 1036
New Zealand,India,tied,-,Hamilton,"Jan 29, 2020",T20I # 1035
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",T20I # 1034
Pakistan,Bangladesh,Pakistan,9 wickets,Lahore,"Jan 25, 2020",T20I # 1033
Pakistan,Bangladesh,Pakistan,5 wickets,Lahore,"Jan 24, 2020",T20I # 1032
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",T20I # 1031
West Indies,Ireland,West Indies,9 wickets,Basseterre,"Jan 19, 2020",T20I # 1030
West Indies,Ireland,no result,-,Basseterre,"Jan 18, 2020",T20I # 1029
West Indies,Ireland,Ireland,4 runs,St George's,"Jan 15, 2020",T20I # 1028
India,Sri Lanka,India,78 runs,Pune,"Jan 10, 2020",T20I # 1027
India,Sri Lanka,India,7 wickets,Indore,"Jan 7, 2020",T20I # 1026
India,Sri Lanka,no result,-,Guwahati,"Jan 5, 2020",T20I # 1025
U.S.A.,Ireland,Ireland,9 runs,Lauderhill,"Dec 23, 2021",T20I # 1452
U.S.A.,Ireland,U.S.A.,26 runs,Lauderhill,"Dec 22, 2021",T20I # 1451
Pakistan,West Indies,Pakistan,7 wickets,Karachi,"Dec 16, 2021",T20I # 1450
Pakistan,West Indies,Pakistan,9 runs,Karachi,"Dec 14, 2021",T20I # 1449
Pakistan,West Indies,Pakistan,63 runs,Karachi,"Dec 13, 2021",T20I # 1448
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,"Nov 22, 2021",T20I # 1447
India,New Zealand,India,73 runs,Eden Gardens,"Nov 21, 2021",T20I # 1446
Kenya,Uganda,Uganda,6 wickets,Rwanda,"Nov 20, 2021",T20I # 1444
Nigeria,Tanzania,Tanzania,69 runs,Kigali,"Nov 20, 2021",T20I # 1445
Bangladesh,Pakistan,Pakistan,8 wickets,Mirpur,"Nov 20, 2021",T20I # 1443
Tanzania,Uganda,Uganda,6 wickets,Rwanda,"Nov 20, 2021",T20I # 1441
Kenya,Nigeria,Kenya,60 runs,Kigali,"Nov 20, 2021",T20I # 1442
India,New Zealand,India,7 wickets,Ranchi,"Nov 19, 2021",T20I # 1440
Bangladesh,Pakistan,Pakistan,4 wickets,Mirpur,"Nov 19, 2021",T20I # 1439
Kenya,Tanzania,Kenya,7 wickets,Rwanda,"Nov 18, 2021",T20I # 1437
Nigeria,Uganda,Uganda,8 wickets,Kigali,"Nov 18, 2021",T20I # 1438
Tanzania,Uganda,Uganda,8 wickets,Rwanda,"Nov 18, 2021",T20I # 1435
Kenya,Nigeria,Kenya,8 wickets,Kigali,"Nov 18, 2021",T20I # 1436
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",T20I # 1434
Nigeria,Uganda,Uganda,12 runs,Rwanda,"Nov 17, 2021",T20I # 1432
Kenya,Tanzania,Tanzania,49 runs,Kigali,"Nov 17, 2021",T20I # 1433
Nigeria,Tanzania,Tanzania,6 wickets,Rwanda,"Nov 17, 2021",T20I # 1430
Kenya,Uganda,Kenya,1 run,Kigali,"Nov 17, 2021",T20I # 1431
Argentina,Bermuda,Bermuda,3 wickets,Coolidge,"Nov 14, 2021",T20I # 1429
Australia,New Zealand,Australia,8 wickets,Dubai (DICS),"Nov 14, 2021",T20I # 1428
Canada,Panama,Canada,208 runs,Coolidge,"Nov 14, 2021",T20I # 1427
Bahamas,Panama,Panama,26 runs,Coolidge,"Nov 13, 2021",T20I # 1425
Argentina,Canada,Canada,9 wickets,North Sound,"Nov 13, 2021",T20I # 1426
Bahamas,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 13, 2021",T20I # 1423
Belize,Bermuda,Bermuda,7 wickets,North Sound,"Nov 13, 2021",T20I # 1424
Bermuda,Panama,Bermuda,86 runs,Coolidge,"Nov 11, 2021",T20I # 1421
Argentina,U.S.A.,U.S.A.,8 wickets,North Sound,"Nov 11, 2021",T20I # 1422
Australia,Pakistan,Australia,5 wickets,Dubai (DICS),"Nov 11, 2021",T20I # 1420
Bermuda,Canada,Canada,46 runs,Coolidge,"Nov 11, 2021",T20I # 1418
Bahamas,Belize,Bahamas,11 runs,North Sound,"Nov 11, 2021",T20I # 1419
Canada,U.S.A.,tied,-,Coolidge,"Nov 10, 2021",T20I # 1416
Argentina,Panama,Argentina,45 runs,North Sound,"Nov 10, 2021",T20I # 1417
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,"Nov 10, 2021",T20I # 1415
Bahamas,Bermuda,Bermuda,140 runs,Coolidge,"Nov 10, 2021",T20I # 1413
Argentina,Belize,Argentina,59 runs,North Sound,"Nov 10, 2021",T20I # 1414
Belize,Panama,Belize,12 runs,Coolidge,"Nov 8, 2021",T20I # 1411
Bermuda,U.S.A.,U.S.A.,23 runs,North Sound,"Nov 8, 2021",T20I # 1412
India,Namibia,India,9 wickets,Dubai (DICS),"Nov 8, 2021",T20I # 1410
Belize,Canada,Canada,145 runs,Coolidge,"Nov 8, 2021",T20I # 1408
Argentina,Bahamas,Bahamas,12 runs,North Sound,"Nov 8, 2021",T20I # 1409
Panama,U.S.A.,U.S.A.,9 wickets,Coolidge,"Nov 7, 2021",T20I # 1407
Pakistan,Scotland,Pakistan,72 runs,Sharjah,"Nov 7, 2021",T20I # 1406
Belize,U.S.A.,U.S.A.,10 wickets,Coolidge,"Nov 7, 2021",T20I # 1404
Bahamas,Canada,Canada,122 runs,North Sound,"Nov 7, 2021",T20I # 1405
Botswana,Tanzania,Tanzania,3 runs,Rwanda,"Nov 7, 2021",T20I # 1403
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,"Nov 7, 2021",T20I # 1402
Cameroon,Sierra Leone,Sierra Leone,6 wickets,Rwanda,"Nov 7, 2021",T20I # 1401
England,South Africa,South Africa,10 runs,Sharjah,"Nov 6, 2021",T20I # 1400
Cameroon,Tanzania,Tanzania,178 runs,Rwanda,"Nov 6, 2021",T20I # 1399
Australia,West Indies,Australia,8 wickets,Abu Dhabi,"Nov 6, 2021",T20I # 1398
Botswana,Mozambique,Botswana,52 runs,Rwanda,"Nov 6, 2021",T20I # 1397
India,Scotland,India,8 wickets,Dubai (DICS),"Nov 5, 2021",T20I # 1396
Mozambique,Sierra Leone,Sierra Leone,5 wickets,Rwanda,"Nov 5, 2021",T20I # 1395
Namibia,New Zealand,New Zealand,52 runs,Sharjah,"Nov 5, 2021",T20I # 1394
Botswana,Cameroon,Botswana,9 wickets,Rwanda,"Nov 5, 2021",T20I # 1393
Sri Lanka,West Indies,Sri Lanka,20 runs,Abu Dhabi,"Nov 4, 2021",T20I # 1392
Australia,Bangladesh,Australia,8 wickets,Dubai (DICS),"Nov 4, 2021",T20I # 1391
Afghanistan,India,India,66 runs,Abu Dhabi,"Nov 3, 2021",T20I # 1390
Sierra Leone,Tanzania,Tanzania,8 wickets,Rwanda,"Nov 3, 2021",T20I # 1389
New Zealand,Scotland,New Zealand,16 runs,Dubai (DICS),"Nov 3, 2021",T20I # 1388
Cameroon,Mozambique,Mozambique,171 runs,Rwanda,"Nov 3, 2021",T20I # 1387
Namibia,Pakistan,Pakistan,45 runs,Abu Dhabi,"Nov 2, 2021",T20I # 1386
Mozambique,Tanzania,Tanzania,87 runs,Rwanda,"Nov 2, 2021",T20I # 1385
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,"Nov 2, 2021",T20I # 1384
Botswana,Sierra Leone,Botswana,72 runs,Rwanda,"Nov 2, 2021",T20I # 1383
England,Sri Lanka,England,26 runs,Sharjah,"Nov 1, 2021",T20I # 1382
India,New Zealand,New Zealand,8 wickets,Dubai (DICS),"Oct 31, 2021",T20I # 1381
Afghanistan,Namibia,Afghanistan,62 runs,Abu Dhabi,"Oct 31, 2021",T20I # 1380
Australia,England,England,8 wickets,Dubai (DICS),"Oct 30, 2021",T20I # 1379
South Africa,Sri Lanka,South Africa,4 wickets,Sharjah,"Oct 30, 2021",T20I # 1378
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DICS),"Oct 29, 2021",T20I # 1377
Qatar,Kuwait,Qatar,2 wickets,Doha,"Oct 29, 2021",T20I # 1376
Bangladesh,West Indies,West Indies,3 runs,Sharjah,"Oct 29, 2021",T20I # 1375
Bahrain,Saudi Arabia,Bahrain,18 runs,Doha,"Oct 28, 2021",T20I # 1373
Australia,Sri Lanka,Australia,7 wickets,Dubai (DICS),"Oct 28, 2021",T20I # 1374
Kuwait,Maldives,Kuwait,5 wickets,Doha,"Oct 28, 2021",T20I # 1372
Namibia,Scotland,Namibia,4 wickets,Abu Dhabi,"Oct 27, 2021",T20I # 1371
Qatar,Saudi Arabia,Qatar,5 wickets,Doha,"Oct 27, 2021",T20I # 1370
Bangladesh,England,England,8 wickets,Abu Dhabi,"Oct 27, 2021",T20I # 1369
Bahrain,Maldives,Bahrain,7 wickets,Doha,"Oct 27, 2021",T20I # 1368
New Zealand,Pakistan,Pakistan,5 wickets,Sharjah,"Oct 26, 2021",T20I # 1367
South Africa,West Indies,South Africa,8 wickets,Dubai (DICS),"Oct 26, 2021",T20I # 1366
Nigeria,Sierra Leone,Nigeria,36 runs,Lagos,"Oct 26, 2021",T20I # 1365
Afghanistan,Scotland,Afghanistan,130 runs,Sharjah,"Oct 25, 2021",T20I # 1364
Malta,Gibraltar,tied,-,Marsa,"Oct 25, 2021",T20I # 1363
Kuwait,Saudi Arabia,Saudi Arabia,4 wickets,Doha,"Oct 25, 2021",T20I # 1362
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),"Oct 24, 2021",T20I # 1361
Nigeria,Sierra Leone,Nigeria,19 runs,Lagos,"Oct 24, 2021",T20I # 1360
Malta,Switzerland,Malta,6 runs,Marsa,"Oct 24, 2021",T20I # 1359
Qatar,Maldives,Qatar,98 runs,Doha,"Oct 24, 2021",T20I # 1358
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Oct 24, 2021",T20I # 1357
Bulgaria,Gibraltar,Bulgaria,6 wickets,Marsa,"Oct 24, 2021",T20I # 1356
